Shopper ID	Product ID	Purchase datetime
treva	664853	2016-01-01 19:25:52
treva	480974	2016-01-03 17:43:09
treva	984430	2016-01-04 17:54:02
william	49348	2016-01-11 18:01:07
treva	115621	2016-01-26 20:27:12
andrew	308205	2016-01-31 12:53:57
sylvia	401987	2016-02-02 10:22:46
hannah	308859	2016-02-09 21:39:21
steve	584732	2016-02-12 22:41:43
jessica	735527	2016-02-13 12:33:27
william	115621	2016-02-16 15:56:51
treva	546127	2016-02-20 12:12:01
sylvia	299998	2016-02-21 15:34:46
sylvia	308205	2016-02-22 15:59:39
karen	299998	2016-02-23 12:54:18
karen	920549	2016-03-01 11:29:03
karen	308859	2016-03-23 18:41:30
william	920549	2016-04-13 14:43:48
william	918494	2016-05-11 22:41:08
karen	542633	2016-05-12 17:03:47
steve	542633	2016-05-14 11:49:19
william	664853	2016-05-15 23:36:49
andrew	960519	2016-05-16 22:09:06
sylvia	115621	2016-05-20 13:03:40
andrew	720466	2016-05-27 11:24:14
angela	546127	2016-05-27 15:56:49
hannah	308205	2016-05-28 13:56:04
sylvia	526950	2016-06-19 22:38:36
jessica	73623	2016-07-01 11:43:55
angela	584732	2016-07-02 11:48:48
steve	173977	2016-07-04 13:40:34
william	958043	2016-07-04 18:15:03
steve	480974	2016-07-06 15:35:31
hannah	73623	2016-07-06 21:02:27
hannah	49348	2016-07-07 17:00:50
karen	443335	2016-07-09 23:02:13
andrew	542633	2016-07-13 12:03:33
jessica	443335	2016-07-16 13:22:28
angela	960519	2016-07-26 23:46:40
william	115621	2016-07-30 18:42:19
diana	480974	2016-07-31 19:22:08
karen	542633	2016-08-16 13:28:52
sylvia	526950	2016-08-31 19:28:41
karen	73623	2016-09-03 14:01:11
william	979517	2016-09-03 23:43:21
karen	308859	2016-09-04 20:17:08
diana	167916	2016-09-09 18:22:37
sylvia	735527	2016-10-24 11:48:44
jessica	401987	2016-10-26 19:38:53
treva	308859	2016-10-28 20:36:58
karen	984430	2016-11-12 20:24:54
treva	16981	2016-11-15 11:09:04
william	735527	2016-11-22 10:24:49
hannah	308205	2016-11-22 21:22:49
diana	115621	2016-11-23 19:39:57
william	16981	2016-11-28 16:45:39
steve	526950	2016-11-30 21:01:25
angela	100889	2016-12-09 18:14:10
jessica	964067	2016-12-28 11:45:48
treva	979517	2016-12-29 15:29:39
hannah	299998	2017-01-15 17:14:50
karen	984430	2017-01-19 12:50:59
steve	720466	2017-01-21 20:09:14
angela	584732	2017-01-25 11:57:35
jessica	49348	2017-01-28 13:50:23
diana	542633	2017-02-07 23:42:00
jessica	308859	2017-03-03 15:58:21
karen	478188	2017-03-15 11:44:06
karen	308859	2017-03-22 11:33:48
sylvia	16981	2017-03-22 12:35:39
karen	167916	2017-03-25 23:15:22
steve	526950	2017-04-02 15:53:37
andrew	100889	2017-04-02 19:13:00
sylvia	73623	2017-04-13 18:18:20
andrew	979517	2017-05-02 19:36:06
diana	542633	2017-05-06 20:35:56
hannah	299998	2017-05-07 19:32:43
andrew	390224	2017-05-07 20:50:08
jessica	299998	2017-05-15 11:51:32
karen	918494	2017-05-28 13:58:06
sylvia	443335	2017-06-13 21:51:12
sylvia	960519	2017-06-14 12:00:34
diana	16981	2017-06-20 10:04:16
andrew	979517	2017-06-20 12:00:56
diana	49348	2017-06-22 22:28:44
steve	16981	2017-06-27 19:29:36
angela	920549	2017-07-01 18:38:14
treva	542633	2017-07-04 13:49:48
william	73623	2017-07-07 15:54:32
sylvia	546127	2017-07-16 13:50:21
angela	299998	2017-07-25 13:40:00
angela	546127	2017-07-27 15:33:18
jessica	167916	2017-08-05 14:28:15
william	299998	2017-08-05 20:07:05
jessica	115621	2017-08-11 22:27:44
angela	308859	2017-08-17 14:44:49
sylvia	584732	2017-08-25 16:13:03
andrew	390224	2017-08-27 17:38:03
jessica	401987	2017-08-30 11:00:32
steve	299998	2017-09-06 23:57:25
